Acrostiche ; Un acrostiche est un poème ou une strophe dont les premières lettres de chaque vers forment un mot.
Attaque DDOS ; Une attaque DDOS (attaque par déni de service distribuée) est une attaque informatique visant à rendre indisponible un service (un serveur, un lien réseau, une infrastructure...). Le cybercriminel corrompt des botnets avec des malwares, qui vont ensuite effectuer de très nombreuses requêtes jusqu’a saturer le service. Ce déni de service empêche alors les utilisateurs légitimes de l’employer. 
Ayahuasca ; L’ayahuasca ou Yagé est un breuvage à base de lianes consommé traditionnellement par les chamanes des tribus indiennes d'Amazonie, utilisé pour entrer en transe dans un but divinatoire ou comme outil thérapeutique et comme puissant outil de purification lors de rituels de guérison sacrés. Cette boisson semble être consommée depuis 4 000 à 5 000 ans. C’est de la drogue car elle contient de la DMT, qui est un puissant hallucinogène.
Babylone ; Babylone est un royaume antique né vers 2000 av. J.C. La ville de Babylone était située à 80km au sud de Bagdad, en Irak actuelle. Le royaume connaît son apogée sous Nabuchodonosor II, entre 605 et 562 av. J.C, le roi qui a assiégé Jérusalem et détruit le Temple de Salomon. La Bible raconte dans le livre de Daniel comment est tombée la lignée de Nabuchodonosor, pour punir ce sacrilège. Pendant un festin servi sur des vases pillés à Jérusalem, une main fantomatique apparaît et écrit sur le mur : « Dieu a compté les jours de ton royaume, il sera donné aux Mèdes et aux Perses » (d’après Daniel, que le roi a appelé pour traduire). Cette prédiction se réalise en -539, lorsque Babylone tombe sous l’attaque des Perses. La ville est conquise en -331 par Alexandre le Grand. Les archéologues pensent que la tour de Babel de la bible pourrait faire référence à l’Etemenanki, une tour gigantesque qui était à Babylone.
Ballast ferroviaire ; Le ballast ferroviaire correspond aux pierres concassées qu’on retrouve sur les voies ferrées. son rôle principal est d’absorber les chocs et les vibrations dus aux passages des trains sur les voies. Grâce à eux, c’est le sol qui absorbe en grande partie les ondes de chocs. Ils absorbent aussi les eaux de pluie, ce qui évite l’accumulation de flaques autour des voies. 
Une basilique ; Une basilique est une église de grande importance (différent d’une cathédrale où officie un évêque : c’est l’église principale d’un diocèse). Seule le pape peut attribuer le titre de basilique à une église, en reconnaissance de son importance historique ou artistique.
Bataille d'Hernani ; 1830 : la bataille d’Hernani. A cette époque, Victor Hugo est déjà un écrivain à succès. Il vient d’écrire une pièce de théâtre intitulée Hernani, qui brise les canons du théâtre classique et notamment les trois unités de temps, de lieu et d’action. Le 25 février 1830, lorsque la pièce est jouée pour la première fois à la Comédie française, des insultes fusent dans la salle, et les hommes de lettres commencent même à se battre entre eux. Les romantiques comme Gérard de Nerval et Théophile Gautier, défenseurs de Victor Hugo, s’opposent violemment à ceux qui réclament l’arrêt de la pièce pour outrage au bon goût. C’est cette pièce qui engage la bataille des Romantiques contre les classiques, attachés aux règles du XVIIe siècle.
Bauxite ; La bauxite est un minerai qui contient beaucoup d’alumine, et c’est la principale source d’aluminium sur Terre (on ne trouve pas d’aluminium sous forme pure), ainsi que de gallium (utilisé pour les semi-conducteurs).
Berlioz ; Berlioz (1803-1869) est un compositeur français romantique. Il compose notamment la Damnation de Faust, à partir de la pièce Faust de Goethe (et de la traduction faite par Gérard de Nerval)
Bête du Gervaudan ; La bête du Gevaudan est un gros animal (probablement un loup), qui a semé la terreur dans le département de la Lozère entre 1764 et 1767, en dévorant plus de cent personnes. En constatant que le massacre durait, les paysans ont même fait appel au roi Louis XV qui a envoyé ses troupes royales. 
Billets en euros ; Les billets de banque en euros sont faits à 100% de fibre de coton, puis sont vernis d’une couche protectrice. Dans d’autres monnaies, les billets peuvent être faits à partir de plastique.
Binaire ; Le binaire : Aujourd’hui, les humains utilisent le système décimal et calculent donc principalement en base 10 ( c’est-à-dire un système numérique contenant 10 chiffres dont :0,1,2,3,4,5,6,7,8,9 ). En revanche, l’ordinateur utilise la base 2, le langage binaire. En effet, un ordinateur marche avec du courant électrique, et pour communiquer avec un appareil électronique, on doit lui envoyer des signaux électriques. En outre, le processeur est composé de ce qu'on appelle des transistors. En effet un transistor, c'est comme un petit interrupteur qui est soit allumé soit éteint. Il laisse passer le courant ou non. Le processeur en contient des millions, et tous ces transistors sont reliés entre eux : le processeur interprète et exécute les instructions qu'il reçoit en éteignant et allumant ses millions de transistors. C'est comme cela qu'il peut effectuer des opérations logiques, stocker des informations et exécuter ce qu'on lui demande (plus il a de transistor, plus il peut faire le travail rapidement). Quand on écrit un programme par exemple, il est compilé en langage binaire, puis interprété. Quand on tape un texte, chaque touche du clavier est associée à un nombre décimal qui peut être converti en langage binaire par la suite.
Bismarck ; Bismarck fut chancelier de Prusse à partir de 1862, puis premier chancelier de l’empire Allemand à partir de 1871, et joua un rôle déterminant dans l’unification de l’Allemagne. Pour arriver à cette unification, il orchestre trois guerres décisives contre le Danemark (1864), l’Autriche (1866) et la France (1870-1871), conflits qui permettent d’unifier les États allemands autour de la Prusse et de susciter un sentiment national. En 1871, après la victoire contre Napoléon III, l’empire Allemand est proclamé à Versailles.
Blanchiment d'argent ; Le blanchiment d’argent est une méthode de dissimulation de l’origine réelle d’argent, en inventant une source légitime. Les sociétés écrans sont un cas d’école. On crée une PME, comme une épicière ou un kebab, qui ne produit en fait absolument rien. Et dans la comptabilité on fait apparaître en chiffre d’affaires l’argent sale, au lieu d’un vrai chiffre d’affaires qui serait lié à la vente de produits. Cela demande tout de même des connaissances en comptabilité puisqu’il faut créer un bilan cohérent, avec des charges d’exploitation, des taxes… Pour des montants très importants, on transfère les fonds à des sociétés écrans, implantés dans des pays avec secret bancaire (par exemple avec propriétaire anonyme), via des faux contrats, des fausses facturations… Puis les criminels peuvent être locataires de logements de fonction au nom de la société, d’avoir des yachts au nom de la société… On peut aussi avoir recours à des prêts adossés auprès de banques de paradis fiscaux. On demande un énorme prêt, et en garantie on donne le même montant demandé. Ainsi on a transformé de l’argent sale en argent obtenu légalement, par prêt bancaire.
Boko Haram ; Boko Haram est un groupe sunnite djihadiste qui sème la terreur au Nigéria. 
Contenances bouteilles de vin ; Bouteilles de vin : standard (0,75 L), Magnum (1,5 L), Jéroboam (3 L), Réhoboam (4,5 L), Mathusalem (6 L), Salmanazar (9 L), Balthazar (12 L), Nabuchodonosor (15 L), Melchior (18 L).
Calendes ; Les calendes correspondent au premier jour de chaque mois chez les Romains. Les débiteurs devaient alors rembourser leurs dettes. Chez les Grecs, il n’y en avait pas : c’est pourquoi l’expression « remettre aux calendes grecques » signifie remettre quelque chose à une date qui n’existe pas. 
Canal de Panama ; La construction du canal de Panama s’achève en 1914. Le projet avait été entrepris par la France fin XIXe, mais abandonné à cause des crues dévastatrices, de la fièvre jaune, et du scandale de Panama. Les États-Unis reprennent l’affaire : ils élaborent un canal avec un lac artificiel surélevé au centre, et un système de 3 écluses de chaque côté pour mettre le bateau au niveau du lac et lui permettre de traverser Panama.
Canal de Suez ; Le canal de Suez est construit entre 1859 et 1869 sous la direction de Ferdinand de Lesseps, et inauguré en 1869 par l’impératrice Eugénie, épouse de Napoleon III. Il est nationalisé en 1956 par le président égyptien Nasser. Suite à cela, la France, le Royaume-Uni (car l’Égypte endettée avait vendu ses parts de la compagnie de Suez au Royaume-Uni) et Israël lancèrent une opération militaire pour obtenir la restitution aux actionnaires des parts qui leur appartenaient : ce fut un échec et de nombreux actionnaires furent ruinés. 
Carats d'or ; Il existe dans le monde 24 titres de carats d’or. En joaillerie, il est rare de trouver des bijoux en or 24 carats. Cette qualité d’or est la plus haute que l’on puisse trouver, on la trouve aussi sous la mention « 999 millièmes » (soit 99,9% d’or pur). Toutefois l’or, à ce niveau de pureté, est trop mou et aisément déformable. Afin de bénéficier d’un bijou solide, on ajoute d’autres métaux à l’or, et on obtient par exemple de l’or 18 carats (75% d’or pur pour 25% d’autres métaux). Cette qualité d’or est encore désignée sous le terme « bijou en or massif ».
Carats pour diamants ; Carat pour diamants : 1 carat équivaut à 0.20 gramme, donc un diamant de 0.30 carat par exemple pèse 0.06 gramme. À qualité égale, le prix d'un diamant s'envole avec l'augmentation de son caratage, c'est le critère le plus déterminant de la valeur d'un diamant. Les autres critères sont la couleur et la pureté (défauts internes et externes apparus à la formation). 1 carat avec les meilleures couleur et pureté vaut 25000€, mais peut aussi valoir 3000€ avec les pires couleur et pureté.
Carte à puce ; La carte à puce a été réalisé pour la première fois par le français Roland Moreno en 1975. C’est une carte portant au moins un circuit intégré capable de contenir de l’information. Ces circuits intégrés ( la puce ) peuvent ensuite contenir des microprocesseurs capables de traiter cette information. Ces cartes à puces sont utilisés comme moyen d’identification ou de paiement (carte d’accès à un bâtiment, carte bancaire).
Caudalie ; Une caudalie est une unité de mesure de la durée d’expression en bouche des arômes du vin. Une caudalie représente une seconde. 
Port de la ceinture ; Le port de la ceinture est devenu obligatoire à l’avant des véhicules en France à partir de 1970. Cette année-là, plus de 16000 personnes avaient été tuées sur les routes. 
L’ordre cistercien ; L'ordre cistersien est un ordre monastique catholique fondé en 1098 par Robert de Molesme, mais qui doit son développement à Bernard de Clairvaux au XIIe siècle. Il naît en réaction aux excès de la vie des bénédictins de l’époque, notamment à Cluny (grande abbaye bénédictine de l’époque), et veut revenir aux sources des règles de Saint Benoît. Aujourd’hui, l’ordre existe sous deux formes : la stricte observance (prière et travail, silence) et la commune observance (engagement dans le travail pastoral, enseignement…).
Code d'Hammurabi ; Le code d’Hammurabi est un texte babylonien, sculpté sur une stèle de basalte noire, daté d’environ 1750 avant J.C, qui est à ce jour le plus complet des codes connus de lois de la Mésopotamie antique. Elle est au musée du Louvre.
Compactage dynamique ; Le compactage dynamique est un technique utilisée pour augmenter la densité d’un sol en profondeur, souvent pour pouvoir construire des bâtiments plus stables au-dessus. On laisse tomber des poids de plusieurs tonnes depuis une grue pour faire des trous réguliers dans le sol. 
Constantinople ; Constantinople, aujourd’hui Istanbul, est située au nord de la Turquie actuelle, sur la petite bande de terre entre la mer Egée et la Mer Noire. En 330, Constantin fait de la ville de Byzance la nouvelle capitale de l’empire romain, et la renomme Constantinople. A la chute de Rome en 476, elle devient la capitale de l’empire byzantin, la partie orientale et survivante de l’empire romain. La ville fut souvent attaquée (les croisés pillèrent par exemple la ville en 1204 pendant la quatrième croisade), et tomba finalement aux mains des Ottomans de Mehmet II en 1453. La célèbre basilique Sainte-Sophie est transformée en Mosquée. En 1923, après la chute de l’empire ottoman, la ville est nommée Istanbul.
CGT ; La CGT (Confédération générale du travail) est un syndicat français de salariés créée en 1895. 
Chine ; La Chine est traversée par deux fleuves principaux qui la traversent d’ouest en est : le Yangtsé (ou fleuve bleu, 3eme fleuve le plus long du monde avec ses 6400 km, et plutôt au sud) et le fleuve jaune (long de 5500 km, particulièrement important car la civilisation chinoise est née dans le nord de la Chine au bord de ce fleuve). A l’ouest (surtout sud-ouest), il y a le plateau du Tibet, dépassant fréquemment 6000m d’altitude. Au nord la région est très désertique (sud du désert de Gobi et des plateaux mongoliens), et l’est, plus fertile, accueille 80% de la population proche des littoraux.
Conflit israélo-palestinien ; Conflit israélo-palestinien : la Palestine est un territoire de l’empire ottoman avant 1917 (depuis sa conquête en 1517), puis est administrée par le Royaume-Uni. Devant les mouvements nationalistes (sionisme) et le besoin de trouver un lieu de refuge pour les rescapés des camps de concentration, l’ONU vote le partage de la Palestine en 1947, en 3 secteurs (1 arabe, 1 juif, et Jérusalem géré par l’ONU). En 1948 a lieu la déclaration d’indépendance de l’Etat d’Israel, par David Ben Gourion. Dès le lendemain éclate la première guerre, car les pays arabes ne veulent pas laisser les juifs créer leur état. Israël a l’avantage (grâce à des armes de l’Union soviétique), et signe des cessez-le-feu. Elle annexe alors une partie du territoire qui avait été donné aux Palestiniens. En 1967 a lieu la guerre des Six Jours, car l’Egypte déploie des forces militaires aux frontières et bloque le détroit de Tiran, qui permettait l’accès à la mer rouge pour Israël. Israël déclare alors la guerre en attaquant par prévention, et vainc ses ennemis (Égypte, Jordanie, Syrie), obtenant ainsi la bande de Gaza, la péninsule du Sinaï et la Cisjordanie (territoire a l’est de Jérusalem). Guerre du Kippour en 1973 : l’Egypte et la Syrie attaquent Israel pour reprendre les terres perdues en 1967, mais Israël gagne. Le projet de créer un État palestinien en Cisjordanie et à Gaza est plus tard établi entre Israël et l’OLP (Organisation pour la Libération de la Palestine), et prévu pour 1998, mais ce n’est pas mis en œuvre. Le Hamas prend le contrôle de la bande de Gaza en 2007. Le 7 octobre 2023, le Hamas lance une offensive contre Israël depuis Gaza, et Israël réplique en les bombardant.
Croissant fertile ; Le croissant fertile est une région du Proche et Moyen-Orient formant une bande de terres cultivables ressemblant à un croissant ouvert vers le sud vu du ciel. Elle suit le Jourdain, l’Euphrate et le Tigre, donc passe par Israël, le Liban, la Syrie, le sud de la Turquie, puis l’Irak jusqu’au golfe persique. On peut aussi l’étendre à l’Egypte avec la vallée du Nil. Ces terres cultivables sont le berceau des civilisations du Proche et Moyen-Orient.
Conseil européen ; Le conseil européen (aussi appelé le sommet européen) a lieu au moins deux fois par semestre et réunit les chefs du gouvernement de chacun des 27 États, le président du Conseil européen et le président de la Commission européenne, à Bruxelles, pour définir les grandes orientations politiques. 
La Curie ; La Curie est l’ensemble des administrations dont se sert le pape pour gouverner l’Eglise catholique. Les dicastères sont les organismes constitutifs, ce qu’on peut comparer aux ministères si on compare la Curie à un gouvernement.
Cybernétique ; La cybernétique est une science qui étudie la transmission des informations dans la machine et l’être vivant. Il apparaît après la seconde guerre mondiale, lorsque des chercheurs voulaient construire des machines capables de prévoir les mouvements des avions ennemis pour les abattre. C’est Norbert Wiener (prof de maths au MIT) qui en est le père fondateur. A la base de cette science, il y a l’idée que le cerveau est une machine, constituée de chair, mais aussi de boucles de réaction, de noeuds de communication... Il n’est plus envisagé du point de vue de la nature mais de celui des mathématiques et de la logique. 
Daesh ; Daesh est le nom de l’Etat islamique fondé par plusieurs groupes islamistes en Irak en 2006. L’Etat islamique rompt ensuite avec Al-Qaïda en 2013, car Al-Qaïda considère que le djihad doit être mené contre les Etats-Unis, Israël et les pays occidentaux, tandis que Daesh considère l’Iran et les chiites comme ennemis principaux. Par cette rupture, Daesh se révèle au grand jour.
Déserts ; Les 5 plus grands déserts : Antarctique, Arctique, Sahara, Arabie, Gobi (Sud de la Mongolie et nord de la Chine)
David Bowie ; David Bowie est un chanteur anglais de la deuxième partie du XXe siècle. Il est connu notamment pour les sons Starman ou Space oddity.
Devise de l'UE ; La devise de l’Union européenne est « in varietate concordia », ou « unie dans la diversité » en français. Elle a été utilisée pour la première fois en 2000. 
Diadoque ; Un diadoque est le nom donné aux généraux d’Alexandre le Grand, qui se sont partagés son empire après sa mort en -323 à Babylone. Son royaume allait de la Macédoine au Pendjab (région au nord de l’Inde), englobant l’Asie Mineure, l’Egypte, la Perse…
Don Quichotte ; Don Quichotte est un roman de Cervantes, écrit entre 1605 et 1615. Il retrace les aventures de Don Quichotte, son valet Sancho Panza et son cheval Rossinante. 
Henri Dunant ; Henri Dunant ( 1828-1910 ) est un homme d’affaires suisse, considéré comme le fondateur de la Croix-Rouge en 1863. Cette association, créée après avoir découvert les horreurs de la guerre à la bataille de Solférino, a pour but de venir en aide aux blessés. Il reçoit le premier prix Nobel de la paix en 1901 pour cette action. 
Histoire d’EDF : suite aux destructions de centrale lors de la seconde guerre mondiale, le gouvernement français promet de nationaliser le gaz et l’électricité. Electricité de France (EDF) est créée en 1946, en nationalisant près de 95% des sociétés privées. En 1960, EDF fait le choix de la tension de 220V. En 1963, elle produit sa première électricité nucléaire. En 1966 elle inaugure l’usine marémotrice de la Rance, dans le nord de la Bretagne, qui restera pendant 45 ans la plus grande usine au monde de ce genre. En 2004, EDF devient une société anonyme, l’État restant actionnaire majoritaire, ce qui ouvre le marché à la concurrence.
Election président en France ; L’élection du président de la République française au suffrage universel figure dans la Constitution depuis 1962.
Eneide ; L’Énéide, écrit par Virgile, est le récit des épreuves du Troyen Énée, ancêtre mythique du peuple romain, fils d'Anchise et de la déesse Vénus, depuis la prise de Troie jusqu'à son installation dans le Latium, en Hespérie (Italie). Virgile l’a écrit entre -29 et -19, date à laquelle il meurt. Il avait d’ailleurs fait jurer à son ami Varius de détruire l’Énéide s’il lui arrivait malheur. Lorsqu’il est sur le point de mourir, il réclame à nouveau son texte pour le brûler. On s’interroge toujours sur les raisons pour lesquelles il voulait détruire cette œuvre. Cette dernière volonté ne fut pas respectée : sur ordre d’Auguste, l’Énéide fut publiée en l’état, avec quelques vers manquants, en -17.
ETF ; Un ETF est un fonds d’investissement composé de centaines d’actions et obligations. En achetant une part de l’ETF, on a donc en réalité un pourcentage de toutes les actions et obligations d’un marché boursier.
Euratom ; Euratom est la Communauté européenne de l'énergie atomique, fondée en 1958. C’est un organisme public européen chargé de coordonner les programmes de recherche sur l’énergie nucléaire. Il vise notamment la formation et la croissance rapide de l’industrie nucléaire. 
Fête de l'Europe ; L’Europe a sa fête le 9 mai, en souvenir de la déclaration du ministre des Affaires étrangères français, Robert Schuman, qui proposa, à l’instigation de Jean Monnet, le 9 mai 1950, de créer la CECA.
Fleuves des enfers ; Il y a 5 fleuves des Enfers dans la mythologie grecque : le Styx (il donne l’invulnérabilité à qui est trempé dans ses eaux, comme pour Achille), l’Achéron, le Phlégéthon, le Cocyte et le Léthé (les âmes des justes, quand elles quittaient les Champs Elysées pour se réincarner devaient boire les eaux du Léthé qui avaient la faculté d’effacer presque entièrement la mémoire de celui qui s’en abreuvait. Elles pouvaient alors repartir à la surface et intégrer un nouveau corps pour recommencer une vie humaine en principe vierge de tout souvenir).
Fréquences ; Les ondes qui contiennent des informations ont des fréquences particulières. Chaque bande de fréquences a des propriétés bien distinctes. Hautes fréquences : meilleur débit (idéal pour la 5G, le wifi, de l’ordre du GHz…). Basses fréquences : meilleure portée (idéal pour la radiodiffusion, de l’ordre de 100MHz). Il y a deux types de bandes de fréquence : les bandes sous licence (l’organisation paye pour une activité précise sur cette bande pendant une durée limitée, et obtient donc un service de haute qualité et plus de fiabilité) et les bandes sans licence (pas de bande passante dédiée, donc moins de cohérence et variations dans la qualité du service). Exemple de bande sans licence : le wifi à 2,4GHz ou 5 GHz.
Fruit du dragon ; Le fruit du dragon est le surnom donné à la pitaya, un fruit à peau rouge ou jaune et à chair blanche, originaire d’Amérique centrale.
Front National ; Le Front National a été fondé en octobre 1972. Jean-Marie le Pen en est élu président. 
Fuseaux horaires ; Fuseaux horaires : le globe est séparé en 24 bandes de fuseaux horaires, qui ne sont pas rectilignes. Quand on va vers l’Est, l’heure augmente. Par exemple, il est plus tard à Paris qu’à New York (6h de décalage), plus tard à Paris qu’à Los Angeles (9h de décalage), mais plus tôt à Paris qu’à Hong Kong (7h de décalage).
Gallicanisme ; Le gallicanisme est une doctrine religieuse française qui cherche à organiser l’église catholique du royaume de France, de façon autonome par rapport au Pape. Elle se développe à partir du XVIe siècle en France, et se manifeste par le fait que c’est le souverain du Royaume de France qui nomme les évêques et les abbés, et qui s’occupe du prélèvement de l’impôt ecclésiastique comme la dîme. Les gallicans s’opposent donc aux ultramontains.
Ghawar ; Ghawar est un gisement pétrolier situé en Arabie Saoudite, qui s’étend sur presque 300km de longueur et 30km de largeur. C’est le plus grand gisement jamais découvert. Il est entièrement détenu par Aramco, la compagnie nationale saoudienne d’hydrocarbure.
Golden Gate Bridge ; Le Golden Gate Bridge, pont suspendu de 1970m reliant San Francisco à la ville de Sausalito un peu plus au nord, a été construit entre 1933 et 1937. Il a été très compliqué à construire à cause des vents incessants, du brouillard, des marées dangereuses, et a d’ailleurs coûté la vie de 11 ouvriers. Ce pont est fixé au sol par uniquement deux grandes tours de plus de 200m. Il fut le plus long pont du monde jusqu’en 1964. 
Grace Kelly ; Grace Kelly (1929-1982) était une actrice, dont la carrière a été lancée après le film « Le crime était presque parfait » d’Alfred Hitchcock. Elle est devenue princesse de Monaco grâce à son mariage.
Grande muraille de Chine ; La grande muraille de Chine est une muraille construite, détruite et reconstruite entre le IIIe siècle avant J.C. et le XVIIe siècle, pour marquer et défendre la frontière nord de la Chine (en fait simplement un peu au delà du fleuve jaune).
Hedge fund ; Un hedge fund est un fonds d’investissement dont le but est de générer le plus de rendements possibles par diverses stratégies, avec moins de réglementations qu’un fonds classique. Il recueille de l’argent auprès d’investisseurs, crée un fond commun, et utilise le capital accumulé pour s’engager dans diverses activités d’investissement pas forcément réglementées, pour le placer dans des produits financiers très particuliers, dans des œuvres d’art, les matières premières, l’immobilier…
Hong-Kong ; Hong-Kong est une région administrative de la république populaire de Chine depuis 1997, date à laquelle le Royaume-Uni remet à la Chine sa colonie. Elle garde son autonomie au moins jusqu’en 2047, c’est-à-dire qu’elle garde son propre système légal, sa monnaie, son système politique, ses lois sur l’immigration… 
Http/s ; Les adresses des sites commencent par http ou https. Ce sont des protocoles qui permettent a l’ordinateur de s’adresser au serveur de façon à se faire comprendre et à accéder à la page qu’il recherche. Le protocole https est une version améliorée de http, car le « s » signifie « secure ». En effet le défaut de http est que les informations ne sont pas cryptées. Un pirate peut voir les informations et les voler. Https est composé de deux protocoles : le protocole http et le protocole ssl, qui permet le cryptage des informations. Ainsi un pirate pourra voir les informations circuler, mais ne peut pas les déchiffrer. 
Saddam Hussein ; Saddam Hussein fut président de l’Irak entre 1979 et 2003. Il prend le pouvoir en 1969, en étant vice-président, suite à de nombreux coups d’état qui n’ont pas fonctionné, puis devient président en 1979. En 1980, il tente d’envahir l’Iran, provoquant le début de la guerre entre l’Irak et l’Iran, qui s’achève en 1988 sans évolution de territoires. En 2003, les USA envahissent l’Irak pour renverser Saddam, accusé de détenir des armes de destruction massives, des armes chimiques, et d’entretenir des relations étroites avec Al-Qaïda. Il est exécuté en 2006 après 3 ans de prison et de procès.
Islam ; Tant que le prophète Mahomet est en vie, l’islam ne forme qu’un seul et même courant. En 632, à sa mort, des divergences de vue apparaissent. Les chiites et les sunnites ne lui reconnaissent pas le même successeur. Ceux qui choisissent Ali, gendre du prophète, deviendront les chiites, tandis que ceux, majoritaires, qui préfèrent suivre Abou Bakr, compagnon de Mahomet, deviendront les sunnites. Pour les chiites, le Coran est une œuvre humaine, alors que pour les sunnites il a un caractère divin. Au-delà du Coran, les sunnites sont également fidèles à la « sunna », les faits et gestes de Mahomet. Les sunnites constituent le courant majoritaire, et même très largement majoritaire, de l’islam. Dans le monde, les musulmans se divisent entre environ 85% de sunnites contre 15% de chiites. Les chiites sont toutefois majoritaires en Iran, en Irak (de peu) et au Bahreïn.
Jericho ; Jericho est la ville la plus basse du monde, située près de la Mer Morte (en Cisjordanie actuelle). Dans la Bible, c’est la première ville que les Israélites conquirent en remontant du désert : les murailles s’effondrèrent par la volonté de Dieu après 7 jours de défilé autour de la ville avec l’arche d’alliance, puis ils massacrent tout le monde… Si Dieu ordonne de tuer ces gens, c’est parce qu’il ne veut pas que son peuple se fasse influencer par leurs pratiques d’idolâtrie. 
René Lacoste ; René Lacoste est un tennisman et un industriel français, fondateur de la marque Lacoste, et qui a remporté plusieurs tournois du Grand Chelem dans les années 1920-1930. Il crée la marque et son logo de crocodile en 1933. 
Langage des cloches (campanaire) ; Langage des cloches (campanaire) : le tintement (taper sur le côté externe de la cloche avec un marteau), la coptée (faire taper le battant sur l’intérieur de la cloche, avec une corde), le glas (annonce d’une mort : 3 fois 3 tintements pour un homme, 2 fois 3 tintements pour une femme, 1 fois 3 tintements pour un enfant), le tocsin (annonce d’un danger), la volée (appel des fidèles à la messe), l’Angélus (3 tintements suivi d’une volée)
Ligne téléphonique en France ; La première ligne téléphonique en France est développée en 1879 à l’occasion de l’exposition universelle. En 1890, il y a 10000 abonnés en France, mais globalement cela se développe moins vite qu’au Royaume-Uni ou en Allemagne. En 1928 est établie la première ligne téléphonique entre Paris et New York. Le premier réseau de téléphonie mobile (1G) est développé en 1986 par PTT Télécommunications (qui est devenu ensuite France Télécom et La Poste).
LVMH ; LVMH signifie Louis Vuitton Moët Hennessy. Le groupe est fondé en 1987 en réunissant les 2 groupes Louis Vuitton et Moët Hennessy (qui constitue la branche « vins et spiritueux » de LVMH).
Kabyle ; Un kabyle est un habitant de la région de la Kabylie, région montagneuse du nord-est de l’Algérie, où l’on parle le berbère.
Franz Kafka ; Franz Kafka est un écrivain majeur du début du XXI siècle, né à Prague, alors ville de l’empire austro-hongrois. Dans "La Métamorphose", un homme, Gregor Samsa, se réveille un matin changé en insecte géant. Dans "Le Procès", Josef K. est arrêté sans savoir pourquoi et plonge dans un labyrinthe judiciaire déshumanisé. L’univers kafkaïen est fait d’angoisse, de culpabilité diffuse, d’incompréhension, avec une ambiance souvent onirique et oppressante. Avant de mourir de la tuberculose, il demande à un ami de brûler tous ses manuscrits, ce qu’il ne fit pas.
Maccarthysme ; Le maccarthysme  (McCarthyism en anglais) est une période de l'histoire américaine, connue également sous le nom de Peur rouge, et qualifiée fréquemment de chasse aux sorcières. C’est une politique anticommuniste mise en place par le sénateur Joseph McCarthy. Elle trouve ses origines dans le fort sentiment anticommuniste qui s'est développé aux Etats-Unis dans le contexte de la guerre froide. Il s’étend de 1950 à 1954. 
